PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
0157108409023,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108409024,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410011,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108410016,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411011,COT,PD,Single-Family Neighborhoods,TALON POINTE
